"Date","Price","Open","High","Low","Change %"
"04/07/2023","85.5100","85.5100","85.5100","85.5100","2.71%"
"04/06/2023","83.2500","83.2500","83.2500","83.2500","0.56%"
"04/05/2023","82.7840","82.7840","82.7840","82.7840","-0.01%"
"04/04/2023","82.7900","82.7900","82.7900","82.7900","17.65%"
"04/03/2023","70.3700","70.3700","70.3700","70.3700","21.58%"
"03/31/2023","57.8800","57.8800","57.8800","57.8800","-28.56%"
"03/30/2023","81.0200","81.0200","81.0200","81.0200","5.87%"
"03/29/2023","76.5300","76.5300","76.5300","76.5300","0.03%"
"03/28/2023","76.5100","76.5100","76.5100","76.5100","-0.03%"
"03/27/2023","76.5300","76.5300","76.5300","76.5300","14.93%"
"03/24/2023","66.5900","66.5900","66.5900","66.5900","-1.32%"
"03/23/2023","67.4800","67.4800","67.4800","67.4800","-0.07%"
"03/22/2023","67.5300","67.5300","67.5300","67.5300","-18.66%"
"03/21/2023","83.0200","83.0200","83.0200","83.0200","-0.19%"
"03/20/2023","83.1740","83.1740","83.1740","83.1740","-0.02%"
"03/17/2023","83.1900","83.1900","83.1900","83.1900","2.78%"
"03/16/2023","80.9400","80.9400","80.9400","80.9400","0.02%"
"03/15/2023","80.9200","80.9200","80.9200","80.9200","-0.06%"
"03/14/2023","80.9660","80.9660","80.9660","80.9660","0.07%"
"03/13/2023","80.9100","80.9100","80.9100","80.9100","5.90%"
"03/10/2023","76.4000","76.4000","76.4000","76.4000","-0.04%"
"03/09/2023","76.4300","76.4300","76.4300","76.4300","-0.01%"
"03/08/2023","76.4400","76.4400","76.4400","76.4400","1.82%"
"03/07/2023","75.0700","75.0700","75.0700","75.0700","1.21%"
"03/06/2023","74.1700","74.1700","74.1700","74.1700","-0.01%"
"03/03/2023","74.1800","74.1800","74.1800","74.1800","6.44%"
"03/02/2023","69.6900","69.6900","69.6900","69.6900","0.01%"
"03/01/2023","69.6800","69.6800","69.6800","69.6800","6.89%"
"02/28/2023","65.1900","65.1900","65.1900","65.1900","0.00%"
"02/27/2023","65.1900","65.1900","65.1900","65.1900","-0.02%"
"02/24/2023","65.2000","65.2000","65.2000","65.2000","0.00%"
"02/23/2023","65.2000","65.2000","65.2000","65.2000","0.00%"
"02/22/2023","65.2000","65.2000","65.2000","65.2000","7.36%"
"02/21/2023","60.7320","60.7320","60.7320","60.7320","0.05%"
"02/20/2023","60.7000","60.7000","60.7000","60.7000","0.03%"
"02/17/2023","60.6800","60.6800","60.6800","60.6800","0.00%"
"02/16/2023","60.6800","60.6800","60.6800","60.6800","7.99%"
"02/15/2023","56.1900","56.1900","56.1900","56.1900","-3.83%"
"02/14/2023","58.4300","58.4300","58.4300","58.4300","0.00%"
"02/13/2023","58.4300","58.4300","58.4300","58.4300","-0.02%"
"02/10/2023","58.4400","58.4400","58.4400","58.4400","0.00%"
"02/09/2023","58.4400","58.4400","58.4400","58.4400","-7.12%"
"02/08/2023","62.9200","62.9200","62.9200","62.9200","0.02%"
"02/07/2023","62.9100","62.9100","62.9100","62.9100","-0.02%"
"02/06/2023","62.9200","62.9200","62.9200","62.9200","-6.67%"
"02/03/2023","67.4200","67.4200","67.4200","67.4200","7.13%"
"02/02/2023","62.9300","62.9300","62.9300","62.9300","0.00%"
"02/01/2023","62.9300","62.9300","62.9300","62.9300","-6.65%"
"01/31/2023","67.4100","67.4100","67.4100","67.4100","7.08%"
"01/30/2023","62.9500","62.9500","62.9500","62.9500","-0.08%"
"01/27/2023","63.0000","63.0000","63.0000","63.0000","-0.02%"
"01/26/2023","63.0100","63.0100","63.0100","63.0100","7.69%"
"01/25/2023","58.5100","58.5100","58.5100","58.5100","0.00%"
"01/24/2023","58.5100","58.5100","58.5100","58.5100","-14.13%"
"01/23/2023","68.1400","68.1400","68.1400","68.1400","0.00%"
"01/20/2023","68.1400","68.1400","68.1400","68.1400","-0.01%"
"01/19/2023","68.1500","68.1500","68.1500","68.1500","24.93%"
"01/18/2023","54.5500","54.5500","54.5500","54.5500","-25.20%"
"01/17/2023","72.9300","72.9300","72.9300","72.9300","15.45%"
"01/16/2023","63.1700","63.1700","63.1700","63.1700","0.02%"
"01/13/2023","63.1600","63.1600","63.1600","63.1600","44.63%"
"01/12/2023","43.6700","43.6700","43.6700","43.6700","19.28%"
"01/11/2023","36.6100","36.6100","36.6100","36.6100","89.20%"
"01/10/2023","19.3500","19.3500","19.3500","19.3500","-11.16%"
"01/09/2023","21.7800","21.7800","21.7800","21.7800","0.00%"
"01/06/2023","21.7800","21.7800","21.7800","21.7800","28.65%"
"01/05/2023","16.9300","16.9300","16.9300","16.9300","0.06%"
"01/04/2023","16.9200","16.9200","16.9200","16.9200","0.00%"
"01/03/2023","16.9200","16.9200","16.9200","16.9200","0.00%"
"01/02/2023","16.9200","16.9200","16.9200","16.9200","0.00%"
"12/30/2022","16.9200","16.9200","16.9200","16.9200","16.69%"
"12/29/2022","14.5000","14.5000","14.5000","14.5000","0.07%"
