Ranking,Name,Market_Cap
1,GOLD," 13,240,000,000,000 "
2,APPLE," 2,654,000,000,000 "
3,MICROSOFT," 2,144,000,000,000 "
4,SAUDI ARAMCO," 2,034,000,000,000 "
5,SILVER," 1,427,000,000,000 "
6,GOOGLE," 1,346,000,000,000 "
7,AMAZON," 1,074,000,000,000 "
8,BERKSHIRE HATHAWAY," 712,540,000,000 "
9,NVIDEA," 686,940,000,000 "
10,TESLA," 576,590,000,000 "
11,BTC," 566,040,000,000 "
12,META," 555,420,000,000 "
28,SAMSUNG," 330,770,000,000 "
36,COCA-COLA," 274,930,000,000 "
46,ETH," 235,650,000,000 "
